Week 1 Fixtures,,,,
Pizza Morahana BP,,v,,London WaspCester
Dirty Ruckers,,v,,Bread XV
Dulwich Panthers BP,,v,,George XV
Eddie Jones's Barmy Army,,v,,Seldom BP
Chessums Cheerleaders BP,,v,,Bye
,,,,
Week 2 Fixtures,,,,
Eddie Jones's Barmy Army,,v,,Bread XV BP
Dirty Ruckers BP,,v,,Pizza Morahana
Chessums Cheerleaders BP,,v,,George XV
Dulwich Panthers,,v,,Seldom
London WaspCester BP,,v,,Bye
,,,,
Week 3 Fixtures,,,,
George XV,,v,,London WaspCester BP
Dirty Ruckers BP,,v,,Eddie Jones's Barmy Army
Chessums Cheerleaders BP,,v,,Seldom
Dulwich Panthers BP,,v,,Bread XV
Pizza Morahana,,v,,Bye
,,,,
Week 4 Fixtures,,,,
Seldom,,v,,London WaspCester BP
George XV,,v,,Pizza Morahana BP
Dulwich Panthers BP,,v,,Eddie Jones's Barmy Army
Chessums Cheerleaders BP,,v,,Bread XV
Dirty Ruckers,,v,,Bye
,,,,
Week 5 Fixtures,,,,
Bread XV,,v,,London WaspCester BP
Seldom,,v,,Pizza Morahana
Dirty Ruckers BP,,v,,Dulwich Panthers
Chessums Cheerleaders BP,,v,,Eddie Jones's Barmy Army
George XV,,v,,Bye
,,,,
Week 6 Fixtures,,,,
Eddie Jones's Barmy Army,,v,,London WaspCester BP
Bread XV BP,,v,,Pizza Morahana
Chessums Cheerleaders,,v,,Dulwich Panthers
Dirty Ruckers,,v,,George XV
Seldom BP,,v,,Bye
,,,,
Week 7 Fixtures,,,,
Dulwich Panthers BP,,v,,London WaspCester
Eddie Jones's Barmy Army,,v,,Pizza Morahana BP
Dirty Ruckers BP,,v,,Chessums Cheerleaders
Seldom,,v,,George XV
Bread XV,,v,,Bye
,,,,
Week 8 Fixtures,,,,
Chessums Cheerleaders,,v,,London WaspCester BP
Dulwich Panthers,,v,,Pizza Morahana
Dirty Ruckers,,v,,Seldom BP
Bread XV,,v,,George XV
Eddie Jones's Barmy Army,,v,,Bye BP
,,,,
Week 9 Fixtures,,,,
Dirty Ruckers,,v,,London WaspCester BP
Chessums Cheerleaders BP,,v,,Pizza Morahana
Bread XV,,v,,Seldom BP
Eddie Jones's Barmy Army,,v,,George XV BP
Dulwich Panthers,,v,,Bye
,,,,
Week 10 Fixtures,,,,
Pizza Morahana,,v,,London WaspCester BP
Dirty Ruckers BP,,v,,Bread XV
Dulwich Panthers,,v,,George XV
Eddie Jones's Barmy Army,,v,,Seldom BP
Chessums Cheerleaders BP,,v,,Bye
,,,,
Week 11 Fixtures,,,,
Eddie Jones's Barmy Army,,v,,Bread XV
Dirty Ruckers,,v,,Pizza Morahana
Chessums Cheerleaders,,v,,George XV
Dulwich Panthers,,v,,Seldom
London WaspCester,,v,,Bye
,,,,
Week 12 Fixtures,,,,
George XV,,v,,London WaspCester
Dirty Ruckers,,v,,Eddie Jones's Barmy Army
Chessums Cheerleaders,,v,,Seldom
Dulwich Panthers,,v,,Bread XV
Pizza Morahana,,v,,Bye
,,,,
Week 13 Fixtures,,,,
Seldom,,v,,London WaspCester
George XV,,v,,Pizza Morahana
Dulwich Panthers,,v,,Eddie Jones's Barmy Army
Chessums Cheerleaders,,v,,Bread XV
Dirty Ruckers,,v,,Bye
,,,,
Week 14 Fixtures,,,,
Bread XV,,v,,London WaspCester
Seldom,,v,,Pizza Morahana
Dirty Ruckers,,v,,Dulwich Panthers
Chessums Cheerleaders,,v,,Eddie Jones's Barmy Army
George XV,,v,,Bye
,,,,
Week 15 Fixtures,,,,
Eddie Jones's Barmy Army,,v,,London WaspCester
Bread XV,,v,,Pizza Morahana
Chessums Cheerleaders,,v,,Dulwich Panthers
Dirty Ruckers,,v,,George XV
Seldom,,v,,Bye
,,,,
Week 16 Fixtures,,,,
Dulwich Panthers,,v,,London WaspCester
Eddie Jones's Barmy Army,,v,,Pizza Morahana
Dirty Ruckers,,v,,Chessums Cheerleaders
Seldom,,v,,George XV
Bread XV,,v,,Bye
,,,,
Week 17 Fixtures,,,,
Chessums Cheerleaders,,v,,London WaspCester
Dulwich Panthers,,v,,Pizza Morahana
Dirty Ruckers,,v,,Seldom
Bread XV,,v,,George XV
Eddie Jones's Barmy Army,,v,,Bye
,,,,
Week 18 Fixtures,,,,
Dirty Ruckers,,v,,London WaspCester
Chessums Cheerleaders,,v,,Pizza Morahana
Bread XV,,v,,Seldom
Eddie Jones's Barmy Army,,v,,George XV
Dulwich Panthers,,v,,Bye